Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Female,Yes,1,Not Graduate,Yes,13693,7138,207,300,1,Semiurban,Approved
Female,No,3+,Graduate,No,2379,7097,374,360,0,Semiurban,Rejected
Male,Yes,3+,Not Graduate,No,2385,7133,487,180,0,Urban,Rejected
Female,No,3+,Graduate,No,13225,1477,448,120,1,Semiurban,Rejected
Male,No,0,Graduate,No,5981,1715,439,180,0,Semiurban,Rejected
Male,Yes,3+,Not Graduate,No,8529,7907,294,300,0,Urban,Rejected
Male,No,0,Not Graduate,Yes,1793,5543,52,180,0,Rural,Rejected
Female,No,1,Graduate,No,9746,4822,206,180,0,Urban,Rejected
Female,No,3+,Not Graduate,No,12752,1096,225,300,1,Urban,Approved
Male,No,0,Graduate,Yes,13413,1074,158,120,0,Urban,Rejected
Female,Yes,3+,Not Graduate,Yes,11230,392,388,120,0,Urban,Rejected
Male,No,3+,Not Graduate,Yes,10466,2070,292,180,0,Rural,Rejected
Male,No,3+,Graduate,No,11703,4961,408,180,1,Urban,Rejected
Male,No,0,Graduate,No,4754,4988,152,240,0,Semiurban,Rejected
Female,No,1,Graduate,No,4902,5637,296,240,0,Urban,Rejected
Male,Yes,0,Not Graduate,Yes,2975,6385,311,120,0,Semiurban,Rejected
Male,No,2,Not Graduate,No,2320,817,466,180,0,Semiurban,Rejected
Female,No,3+,Graduate,Yes,13922,7293,73,120,0,Rural,Rejected
Male,No,2,Not Graduate,No,13510,761,240,240,0,Urban,Rejected
Female,No,3+,Not Graduate,No,12803,6968,294,300,0,Urban,Rejected
Male,Yes,1,Graduate,No,11178,3954,460,360,1,Urban,Rejected
Female,No,0,Graduate,No,9497,925,260,300,0,Urban,Rejected
Female,No,0,Graduate,No,10004,4285,402,360,0,Semiurban,Rejected
Male,No,2,Not Graduate,Yes,10647,7307,363,120,0,Rural,Rejected
Male,No,3+,Graduate,Yes,13811,4027,214,180,1,Semiurban,Approved
Male,Yes,3+,Not Graduate,Yes,2791,3760,277,360,1,Urban,Approved
Female,No,2,Graduate,No,13709,5352,59,120,1,Semiurban,Approved
Male,Yes,0,Not Graduate,Yes,12224,5500,283,240,1,Urban,Approved
Male,No,2,Not Graduate,No,13229,3707,108,120,0,Urban,Rejected
Female,No,2,Not Graduate,Yes,2250,7347,134,300,0,Rural,Rejected
Female,Yes,2,Graduate,Yes,3478,7620,486,300,0,Semiurban,Rejected
Male,No,0,Not Graduate,Yes,11875,6860,394,360,0,Semiurban,Rejected
Female,Yes,3+,Graduate,Yes,10564,7662,271,360,1,Rural,Approved
Male,Yes,1,Graduate,No,12272,4919,360,240,1,Semiurban,Rejected
Male,No,3+,Not Graduate,No,8919,6592,118,180,1,Rural,Approved
Female,No,1,Graduate,Yes,11726,5852,198,240,0,Rural,Rejected
Male,No,0,Not Graduate,No,11048,4674,391,300,1,Semiurban,Rejected
Male,Yes,0,Not Graduate,Yes,2369,5490,78,180,1,Urban,Approved
Female,No,1,Graduate,No,4842,6173,327,120,1,Semiurban,Approved
Male,Yes,3+,Graduate,No,12853,5443,74,300,1,Semiurban,Approved
Female,Yes,0,Not Graduate,Yes,11667,7117,449,300,0,Rural,Rejected
Female,Yes,1,Not Graduate,No,4406,5592,88,180,0,Rural,Rejected
Male,No,0,Not Graduate,No,10619,2164,116,180,1,Urban,Approved
Female,No,1,Graduate,Yes,6785,4889,76,360,1,Semiurban,Approved
Female,Yes,2,Graduate,Yes,10029,558,452,360,0,Semiurban,Rejected
Female,Yes,2,Graduate,Yes,12368,2718,219,240,1,Urban,Approved
Female,Yes,0,Not Graduate,No,5437,7409,378,360,0,Urban,Rejected
Female,No,0,Not Graduate,No,10351,5930,194,120,1,Rural,Approved
Female,No,0,Not Graduate,Yes,6748,4209,92,120,0,Rural,Rejected
Male,Yes,1,Graduate,No,3202,1684,325,300,0,Rural,Rejected
Male,Yes,3+,Not Graduate,Yes,2933,600,77,180,1,Rural,Rejected
Male,Yes,2,Not Graduate,No,8891,5162,257,300,1,Urban,Approved
Female,Yes,0,Graduate,Yes,12983,6948,87,240,0,Semiurban,Rejected
Female,Yes,2,Not Graduate,No,7973,6734,388,120,1,Urban,Rejected
Male,Yes,3+,Not Graduate,Yes,6383,5548,457,240,0,Rural,Rejected
Male,Yes,0,Graduate,No,10300,4485,93,240,0,Rural,Rejected
Female,Yes,3+,Graduate,Yes,4514,1808,365,240,0,Urban,Rejected
Male,Yes,3+,Graduate,No,12504,551,178,120,0,Rural,Rejected
Female,No,2,Graduate,Yes,3139,2335,367,120,0,Semiurban,Rejected
Female,No,2,Not Graduate,Yes,10766,4643,236,240,1,Urban,Approved
Male,No,1,Graduate,No,6033,6882,234,180,1,Semiurban,Approved
Female,No,2,Not Graduate,No,10538,891,139,360,0,Semiurban,Rejected
Male,Yes,2,Graduate,Yes,1805,6959,309,120,1,Rural,Approved
Male,Yes,2,Not Graduate,Yes,7493,3215,164,360,1,Urban,Approved
Female,Yes,3+,Not Graduate,Yes,12357,1956,484,360,0,Rural,Rejected
Male,No,1,Graduate,Yes,13557,5996,297,240,0,Urban,Rejected
Female,Yes,0,Not Graduate,No,5334,350,392,180,1,Semiurban,Rejected
Female,No,0,Graduate,No,3191,5765,316,240,1,Rural,Approved
Male,No,3+,Not Graduate,Yes,9965,2060,242,180,1,Semiurban,Approved
Female,No,3+,Graduate,Yes,8707,1356,167,120,1,Urban,Approved
Male,Yes,1,Not Graduate,Yes,12331,1886,262,240,0,Semiurban,Rejected
Female,No,1,Graduate,No,1867,1996,72,180,0,Urban,Rejected
Male,Yes,0,Graduate,No,4449,4232,257,360,0,Rural,Rejected
Female,Yes,1,Not Graduate,No,9391,1397,162,300,0,Rural,Rejected
Male,No,1,Not Graduate,No,11273,4838,85,180,1,Semiurban,Approved
Male,Yes,0,Graduate,No,3950,4960,99,180,1,Rural,Approved
Male,Yes,0,Not Graduate,Yes,11387,4417,473,120,1,Rural,Rejected
Female,No,0,Not Graduate,Yes,14644,3949,454,300,1,Rural,Rejected
Male,No,1,Not Graduate,No,14047,1904,489,120,1,Rural,Rejected
Female,No,1,Graduate,Yes,10969,4280,110,360,0,Semiurban,Rejected
Male,No,3+,Not Graduate,Yes,4035,3490,383,360,1,Semiurban,Rejected
Female,No,2,Not Graduate,Yes,8270,4522,451,360,1,Urban,Rejected
Female,No,2,Not Graduate,No,14184,5779,253,180,0,Rural,Rejected
Male,No,1,Graduate,Yes,9828,3281,452,240,0,Urban,Rejected
Female,Yes,0,Graduate,No,11334,3566,95,120,1,Urban,Approved
Female,Yes,0,Not Graduate,No,11559,5375,316,240,0,Urban,Rejected
Female,No,0,Graduate,No,4690,275,451,360,0,Rural,Rejected
Male,Yes,2,Graduate,Yes,4079,711,191,300,1,Rural,Approved
Female,No,1,Graduate,Yes,2977,4502,195,360,1,Semiurban,Approved
Female,Yes,1,Not Graduate,No,10919,38,183,180,1,Rural,Approved
Male,Yes,2,Not Graduate,Yes,14655,4204,181,360,1,Rural,Approved
Female,No,3+,Graduate,No,14207,3758,398,300,0,Semiurban,Rejected
Male,No,0,Not Graduate,Yes,12590,5744,167,240,1,Semiurban,Approved
Male,No,1,Not Graduate,Yes,8036,5518,433,240,0,Rural,Rejected
Male,No,2,Not Graduate,Yes,10899,2204,143,180,1,Rural,Approved
Male,Yes,1,Not Graduate,Yes,5255,1661,477,180,1,Urban,Rejected
Male,Yes,0,Not Graduate,Yes,14021,7021,327,120,1,Semiurban,Approved
Female,No,2,Not Graduate,Yes,14021,7503,311,240,1,Urban,Approved
Male,Yes,3+,Not Graduate,Yes,9732,2844,251,180,1,Urban,Approved
Female,No,0,Graduate,Yes,7716,4759,101,240,1,Rural,Approved
Female,Yes,2,Graduate,No,9222,7852,363,240,1,Urban,Rejected
Female,No,1,Not Graduate,No,7481,6998,255,240,1,Urban,Approved
Male,Yes,0,Not Graduate,Yes,10598,3540,488,300,0,Urban,Rejected
Male,No,0,Graduate,No,9685,1101,484,360,1,Semiurban,Rejected
Female,No,0,Not Graduate,Yes,12813,1338,80,180,1,Semiurban,Approved
Male,No,2,Not Graduate,No,7403,4590,335,240,1,Urban,Approved
Female,Yes,2,Graduate,Yes,14284,2331,231,240,1,Rural,Approved
Female,Yes,3+,Not Graduate,No,11849,7836,124,180,1,Semiurban,Approved
Female,Yes,0,Graduate,No,5239,2568,212,240,1,Rural,Approved
Female,No,3+,Not Graduate,No,8282,1370,144,120,0,Rural,Rejected
Male,No,0,Graduate,Yes,8005,843,98,120,1,Rural,Approved
Male,Yes,3+,Graduate,Yes,5800,5063,129,120,1,Semiurban,Approved
Male,Yes,2,Not Graduate,Yes,3650,4315,479,180,0,Urban,Rejected
Female,No,3+,Not Graduate,No,10487,3644,119,360,0,Rural,Rejected
Female,No,2,Not Graduate,No,10341,1860,462,120,1,Semiurban,Rejected
Female,No,2,Graduate,No,1672,0,317,180,1,Semiurban,Rejected
Female,Yes,3+,Not Graduate,No,1649,6274,270,240,0,Urban,Rejected
Female,Yes,3+,Not Graduate,No,5594,1337,416,300,1,Urban,Rejected
Female,Yes,3+,Graduate,No,6164,5312,430,360,1,Semiurban,Rejected
Male,Yes,1,Graduate,No,3308,5217,283,360,1,Semiurban,Approved
Female,Yes,2,Graduate,Yes,2313,7943,323,120,0,Urban,Rejected
Female,No,1,Not Graduate,Yes,5314,738,127,120,1,Urban,Approved
Female,No,2,Not Graduate,No,9097,5709,455,120,1,Urban,Rejected
Male,Yes,2,Not Graduate,Yes,10399,3851,142,180,1,Semiurban,Approved
Male,Yes,1,Not Graduate,No,5549,6042,67,180,1,Rural,Approved
Male,Yes,3+,Not Graduate,No,6793,1299,372,120,0,Semiurban,Rejected
Female,No,1,Not Graduate,Yes,12423,1784,107,180,1,Semiurban,Approved
Male,Yes,2,Graduate,No,14429,1991,54,120,1,Rural,Approved
Male,No,0,Graduate,Yes,9690,748,401,360,1,Rural,Rejected
Male,Yes,2,Graduate,Yes,3561,3996,169,240,1,Semiurban,Approved
Male,Yes,3+,Not Graduate,Yes,5607,7361,70,300,1,Rural,Approved
Female,No,1,Graduate,No,6803,5999,289,240,0,Urban,Rejected
Male,No,2,Not Graduate,No,8939,5,447,360,1,Rural,Rejected
Male,Yes,2,Graduate,No,13312,518,387,360,1,Urban,Rejected
Female,Yes,2,Not Graduate,No,12000,2638,106,120,0,Urban,Rejected
Male,Yes,0,Graduate,Yes,9452,1569,100,120,1,Rural,Approved
Female,No,0,Not Graduate,Yes,11427,5880,86,120,0,Rural,Rejected
Female,Yes,3+,Graduate,No,10642,6090,262,240,0,Rural,Rejected
Female,Yes,0,Not Graduate,Yes,5037,7869,315,120,0,Rural,Rejected
Male,No,1,Graduate,Yes,10839,5122,141,360,1,Rural,Approved
Male,No,3+,Not Graduate,Yes,4233,6491,142,360,1,Rural,Approved
Female,Yes,3+,Not Graduate,No,10512,2659,482,240,1,Rural,Rejected
Female,No,1,Graduate,No,14045,4507,431,240,1,Semiurban,Rejected
Female,No,0,Graduate,No,11260,133,315,180,1,Urban,Approved
Female,Yes,1,Not Graduate,Yes,14140,6733,403,240,0,Urban,Rejected
Male,No,2,Graduate,Yes,5841,3007,348,180,0,Semiurban,Rejected
Female,Yes,3+,Graduate,Yes,13355,2659,455,300,0,Semiurban,Rejected
Male,No,0,Not Graduate,Yes,14281,458,444,240,1,Semiurban,Rejected
Female,Yes,1,Graduate,No,2386,2496,318,120,1,Rural,Approved
Male,No,1,Graduate,Yes,12536,5993,251,300,0,Urban,Rejected
Female,No,3+,Graduate,Yes,7007,676,293,360,0,Rural,Rejected
Female,No,0,Not Graduate,No,14178,5716,116,180,1,Rural,Approved
Male,No,3+,Graduate,Yes,5470,586,186,300,1,Rural,Approved
Male,Yes,3+,Not Graduate,No,7206,1560,214,240,0,Semiurban,Rejected
Male,No,3+,Graduate,No,2235,7571,468,180,0,Rural,Rejected
Female,Yes,0,Graduate,Yes,5482,7773,367,180,1,Urban,Rejected
Female,Yes,2,Not Graduate,No,1872,2718,157,360,0,Urban,Rejected
Female,No,1,Graduate,No,11051,7422,389,360,0,Semiurban,Rejected
Male,Yes,2,Graduate,No,2369,3808,385,120,0,Semiurban,Rejected
Female,No,0,Graduate,No,12139,3166,168,300,0,Semiurban,Rejected
Female,Yes,1,Graduate,No,10686,7588,414,120,0,Urban,Rejected
Female,No,3+,Not Graduate,Yes,1801,2840,400,240,1,Rural,Rejected
Female,Yes,2,Graduate,No,7843,7294,467,120,1,Urban,Rejected
Male,No,3+,Graduate,Yes,13458,3131,316,360,0,Semiurban,Rejected
Male,Yes,3+,Not Graduate,No,8859,4441,117,180,0,Rural,Rejected
Male,Yes,2,Graduate,No,14116,1189,385,360,0,Semiurban,Rejected
Male,Yes,1,Not Graduate,Yes,13412,241,441,240,1,Semiurban,Rejected
Female,No,2,Graduate,Yes,3249,1077,144,120,1,Rural,Approved
Male,Yes,1,Graduate,No,2802,5637,449,300,0,Rural,Rejected
Female,No,1,Not Graduate,No,9263,1126,133,180,0,Urban,Rejected
Female,Yes,2,Not Graduate,Yes,13662,5499,153,180,0,Urban,Rejected
Female,No,2,Not Graduate,Yes,8505,3316,447,120,1,Rural,Rejected
Female,No,0,Graduate,No,8985,6774,499,120,0,Rural,Rejected
Female,Yes,3+,Graduate,Yes,6270,3600,253,240,1,Semiurban,Approved
Male,No,2,Graduate,Yes,9095,6798,380,300,0,Rural,Rejected
Male,Yes,1,Not Graduate,No,6799,3693,62,180,1,Rural,Approved
Male,No,0,Not Graduate,No,12833,5313,414,180,0,Urban,Rejected
Male,No,2,Graduate,No,13409,6480,311,360,0,Semiurban,Rejected
Female,Yes,1,Not Graduate,Yes,4156,7117,124,180,0,Semiurban,Rejected
Female,No,3+,Not Graduate,Yes,3426,7360,117,180,0,Rural,Rejected
Female,Yes,3+,Not Graduate,No,10404,6614,52,360,1,Urban,Approved
Male,No,3+,Not Graduate,No,2800,4925,357,120,0,Rural,Rejected
Female,Yes,0,Graduate,Yes,2402,5351,228,120,0,Urban,Rejected
Female,No,0,Graduate,Yes,8331,1460,132,240,0,Semiurban,Rejected
Female,Yes,0,Not Graduate,No,7538,7352,244,120,1,Rural,Approved
Male,No,3+,Graduate,Yes,12880,7040,190,240,1,Rural,Approved
Male,Yes,0,Graduate,Yes,9424,5931,402,360,1,Semiurban,Rejected
Female,No,2,Graduate,No,10014,5973,373,300,1,Urban,Rejected
Male,No,1,Graduate,Yes,1892,3808,370,120,0,Rural,Rejected
Female,No,0,Not Graduate,No,10681,6603,376,180,0,Rural,Rejected
Male,No,2,Graduate,No,6419,4150,331,240,0,Urban,Rejected
Female,No,3+,Graduate,Yes,4678,2707,476,240,1,Semiurban,Rejected
Male,Yes,3+,Graduate,No,10297,7339,221,300,1,Rural,Approved
Male,No,2,Graduate,Yes,10960,5615,219,240,0,Urban,Rejected
Female,Yes,2,Not Graduate,Yes,10854,4961,249,180,0,Semiurban,Rejected
Female,Yes,2,Not Graduate,Yes,9643,7184,171,240,1,Semiurban,Approved
Male,No,1,Graduate,No,14360,306,448,180,0,Semiurban,Rejected
Male,No,1,Graduate,No,9421,6000,497,360,1,Semiurban,Rejected
Male,Yes,1,Graduate,Yes,9026,3175,415,360,0,Urban,Rejected
Female,Yes,0,Not Graduate,No,2255,844,316,240,0,Rural,Rejected
Female,Yes,2,Graduate,Yes,6195,2266,322,240,1,Rural,Approved
Male,No,1,Graduate,No,3375,124,368,360,0,Urban,Rejected
Female,No,2,Graduate,No,10905,2005,137,120,1,Rural,Approved
Female,No,0,Graduate,Yes,9212,7399,395,120,0,Semiurban,Rejected
Male,Yes,3+,Not Graduate,Yes,13045,4883,353,300,1,Semiurban,Rejected
Female,Yes,0,Not Graduate,Yes,3022,6658,460,300,0,Semiurban,Rejected
Female,No,3+,Graduate,Yes,3854,7054,365,240,1,Semiurban,Rejected
Male,No,2,Not Graduate,No,1995,535,293,120,1,Semiurban,Rejected
Female,Yes,2,Not Graduate,Yes,9822,843,257,120,1,Rural,Approved
Male,No,3+,Not Graduate,No,5408,5086,174,360,0,Semiurban,Rejected
Female,Yes,2,Graduate,No,14350,3566,340,240,0,Urban,Rejected
Male,No,0,Not Graduate,No,10594,799,470,300,0,Semiurban,Rejected
Female,Yes,0,Not Graduate,No,9598,5283,388,120,0,Urban,Rejected
Male,Yes,1,Graduate,No,10204,2387,249,360,1,Urban,Approved
Male,No,2,Not Graduate,No,13260,7496,226,120,0,Rural,Rejected
Female,Yes,2,Graduate,No,10492,7929,77,120,1,Urban,Approved
Female,Yes,1,Not Graduate,No,11743,2606,414,300,1,Semiurban,Rejected
Female,Yes,1,Not Graduate,Yes,4583,4550,246,240,1,Urban,Approved
Female,Yes,1,Graduate,Yes,12123,128,123,300,1,Urban,Approved
Male,Yes,3+,Not Graduate,No,11711,1472,282,360,1,Rural,Approved
Female,No,2,Graduate,Yes,8459,4952,53,360,1,Rural,Approved
Male,No,3+,Not Graduate,Yes,2120,4654,297,240,0,Rural,Rejected
Female,Yes,1,Not Graduate,No,9969,640,317,360,0,Urban,Rejected
Female,Yes,2,Graduate,No,10265,6377,55,300,1,Rural,Approved
Female,No,3+,Not Graduate,No,6238,1372,68,360,1,Rural,Approved
Female,Yes,3+,Graduate,Yes,12253,2390,464,360,0,Semiurban,Rejected
Female,Yes,1,Graduate,No,5629,1085,365,240,1,Semiurban,Rejected
Male,Yes,1,Graduate,No,7558,6617,139,240,0,Semiurban,Rejected
Male,Yes,2,Graduate,Yes,11257,7650,470,180,1,Semiurban,Rejected
Female,Yes,3+,Graduate,Yes,10965,6015,481,240,0,Rural,Rejected
Female,Yes,0,Graduate,No,8033,3901,204,300,0,Semiurban,Rejected
Female,No,2,Graduate,No,1694,2365,458,300,1,Rural,Rejected
Female,Yes,0,Not Graduate,No,11502,7520,383,240,1,Semiurban,Rejected
Female,Yes,2,Not Graduate,No,14167,5531,433,180,0,Rural,Rejected
Female,Yes,2,Graduate,Yes,2613,97,260,120,0,Rural,Rejected
Female,No,1,Not Graduate,No,4663,278,62,360,0,Urban,Rejected
Male,Yes,0,Graduate,Yes,7659,5377,441,360,0,Urban,Rejected
Male,No,2,Not Graduate,Yes,11965,3714,191,300,1,Semiurban,Approved
Male,Yes,2,Graduate,No,7866,2725,80,240,1,Urban,Approved
Female,Yes,3+,Graduate,No,4423,5287,301,120,0,Rural,Rejected
Female,Yes,0,Not Graduate,No,3192,285,87,120,1,Semiurban,Rejected
Male,No,1,Graduate,Yes,12388,3198,186,180,1,Semiurban,Approved
Male,No,3+,Not Graduate,No,13423,6397,465,120,0,Urban,Rejected
Female,No,0,Not Graduate,No,12671,2480,255,120,0,Semiurban,Rejected
Female,Yes,3+,Not Graduate,Yes,4393,4542,70,300,0,Semiurban,Rejected
Female,Yes,2,Not Graduate,Yes,11867,3587,426,180,0,Urban,Rejected
Male,Yes,1,Not Graduate,No,2532,6494,326,240,1,Rural,Approved
Female,Yes,0,Not Graduate,Yes,7033,6453,419,120,1,Urban,Rejected
Male,No,1,Graduate,Yes,2104,6024,122,300,0,Semiurban,Rejected
Male,Yes,1,Graduate,Yes,11865,409,207,120,1,Rural,Approved
Male,Yes,0,Graduate,No,11248,6546,365,180,0,Urban,Rejected
Female,No,3+,Not Graduate,Yes,12708,4718,329,180,1,Urban,Approved
Male,Yes,2,Graduate,Yes,5987,1157,437,300,0,Rural,Rejected
Female,Yes,3+,Graduate,Yes,3685,818,455,360,1,Urban,Rejected
Male,No,0,Graduate,Yes,4439,7586,95,360,1,Semiurban,Approved
Female,Yes,1,Graduate,No,10070,3689,260,180,0,Rural,Rejected
Male,Yes,3+,Graduate,No,7199,3430,52,360,0,Urban,Rejected
Male,Yes,2,Graduate,No,14121,5131,387,180,1,Urban,Rejected
Male,Yes,1,Not Graduate,No,4388,1308,393,120,0,Rural,Rejected
Female,No,1,Not Graduate,No,6977,5052,462,300,0,Urban,Rejected
Male,Yes,1,Graduate,No,9936,950,86,180,1,Rural,Approved
Female,No,1,Not Graduate,Yes,14262,902,216,180,0,Urban,Rejected
Female,Yes,3+,Graduate,Yes,9216,4793,298,120,1,Urban,Approved
Male,No,1,Not Graduate,No,3734,3749,418,180,1,Semiurban,Rejected
Male,No,1,Graduate,Yes,6097,1118,106,300,1,Semiurban,Approved
Male,No,1,Not Graduate,Yes,14435,6509,376,360,0,Rural,Rejected
Male,Yes,3+,Not Graduate,Yes,11192,3878,478,300,1,Urban,Rejected
Female,Yes,1,Not Graduate,No,10993,1821,352,180,0,Semiurban,Rejected
Male,Yes,3+,Graduate,No,10201,3230,295,120,1,Semiurban,Approved
Male,Yes,0,Not Graduate,Yes,3674,2936,201,180,0,Urban,Rejected
Female,No,1,Not Graduate,Yes,8952,3799,445,180,1,Urban,Rejected
Female,No,0,Graduate,No,12817,2727,321,120,1,Semiurban,Approved
Female,Yes,0,Not Graduate,Yes,9933,7744,395,240,0,Urban,Rejected
Female,No,3+,Graduate,No,7503,1435,381,360,0,Rural,Rejected
Male,Yes,2,Graduate,Yes,12133,3919,427,360,0,Rural,Rejected
Male,No,2,Not Graduate,No,6040,446,82,240,1,Semiurban,Approved
Female,Yes,3+,Not Graduate,No,11673,3015,459,120,0,Semiurban,Rejected
Male,Yes,3+,Graduate,No,2760,895,134,240,0,Rural,Rejected
Male,No,1,Graduate,Yes,6303,3412,399,360,0,Semiurban,Rejected
Female,No,3+,Graduate,No,4597,515,61,180,1,Semiurban,Approved
Female,No,3+,Not Graduate,No,6482,4646,117,240,0,Semiurban,Rejected
Male,No,2,Not Graduate,Yes,3930,2892,195,300,0,Rural,Rejected
Male,No,1,Graduate,Yes,4141,1948,109,120,1,Rural,Approved
Male,No,2,Not Graduate,Yes,4861,4607,412,120,1,Semiurban,Rejected
Male,No,3+,Graduate,No,3490,7540,62,300,1,Urban,Approved
Female,No,1,Graduate,No,12104,5779,201,300,1,Rural,Approved
Male,No,2,Graduate,No,2156,1142,397,360,0,Semiurban,Rejected
Male,No,1,Not Graduate,No,3015,2673,78,360,0,Rural,Rejected
Male,No,1,Graduate,Yes,10321,6958,278,120,1,Urban,Approved
Female,No,0,Not Graduate,No,3923,5865,487,300,1,Semiurban,Rejected
Female,Yes,2,Not Graduate,No,6547,3650,497,360,0,Urban,Rejected
Female,No,3+,Not Graduate,Yes,14700,5963,267,300,0,Rural,Rejected
Male,Yes,1,Not Graduate,No,10106,2747,83,360,1,Urban,Approved
Male,No,2,Not Graduate,Yes,10606,3785,413,360,0,Urban,Rejected
Male,No,2,Not Graduate,Yes,14980,6768,204,360,1,Semiurban,Approved
Female,Yes,0,Graduate,Yes,5803,2458,377,300,0,Rural,Rejected
Female,No,1,Not Graduate,Yes,1966,977,441,240,1,Urban,Rejected
Female,No,3+,Not Graduate,No,12874,6703,111,240,0,Semiurban,Rejected
Male,Yes,1,Not Graduate,No,12858,1109,232,180,0,Semiurban,Rejected
Female,No,2,Graduate,No,6278,4338,377,120,0,Rural,Rejected
Male,Yes,1,Not Graduate,No,12722,6552,204,240,1,Urban,Approved
Female,Yes,0,Graduate,No,7611,6379,298,300,1,Urban,Approved
Male,Yes,1,Graduate,Yes,14527,7348,336,360,0,Semiurban,Rejected
Female,Yes,0,Graduate,Yes,9356,2852,209,240,0,Semiurban,Rejected
Female,Yes,2,Graduate,Yes,5143,1054,488,180,0,Semiurban,Rejected
Male,Yes,1,Graduate,No,12818,6250,451,120,0,Urban,Rejected
Female,No,0,Graduate,Yes,2037,6496,387,360,0,Semiurban,Rejected
Male,No,0,Graduate,No,12437,84,436,120,0,Rural,Rejected
Male,Yes,1,Not Graduate,Yes,2987,1192,483,240,1,Semiurban,Rejected
Male,Yes,0,Graduate,Yes,10164,1777,416,180,1,Urban,Rejected
Male,Yes,1,Not Graduate,No,12938,4828,144,300,0,Urban,Rejected
Female,No,3+,Graduate,Yes,8177,924,439,240,0,Semiurban,Rejected
Male,Yes,3+,Not Graduate,No,10628,5915,70,120,1,Semiurban,Approved
Male,No,2,Not Graduate,No,12756,7996,480,300,0,Rural,Rejected
Female,No,3+,Graduate,Yes,14647,3896,397,240,0,Urban,Rejected
Female,Yes,3+,Not Graduate,Yes,3453,1174,252,300,0,Rural,Rejected
Male,Yes,2,Graduate,No,4781,4873,482,300,0,Urban,Rejected
Female,No,2,Not Graduate,No,7334,3897,391,360,1,Semiurban,Rejected
Female,Yes,3+,Graduate,Yes,5607,4008,304,180,0,Urban,Rejected
Male,Yes,0,Not Graduate,Yes,4434,3134,359,240,0,Semiurban,Rejected
Male,Yes,3+,Not Graduate,Yes,6309,5423,304,300,1,Rural,Approved
Female,Yes,0,Not Graduate,Yes,7785,3687,211,300,1,Semiurban,Approved
Male,Yes,1,Not Graduate,Yes,9552,3528,118,240,1,Semiurban,Approved
Male,No,3+,Not Graduate,Yes,9801,456,250,240,1,Rural,Approved
Female,No,2,Not Graduate,Yes,1961,4837,73,180,1,Semiurban,Approved
Male,No,3+,Graduate,No,7154,2927,260,240,0,Rural,Rejected
Male,Yes,1,Not Graduate,Yes,12772,536,494,240,0,Semiurban,Rejected
Male,Yes,2,Graduate,No,12276,7072,266,360,1,Semiurban,Approved
Male,No,0,Not Graduate,No,10844,3197,215,360,0,Semiurban,Rejected
Male,Yes,2,Not Graduate,No,4230,5036,203,240,1,Urban,Approved
Female,Yes,1,Not Graduate,No,2278,2435,343,300,0,Rural,Rejected
Male,Yes,2,Not Graduate,Yes,10780,6563,321,300,1,Urban,Approved
Female,Yes,2,Not Graduate,No,12370,4423,210,180,1,Semiurban,Approved
Female,No,1,Graduate,Yes,10951,4089,159,300,1,Rural,Approved
Female,Yes,1,Not Graduate,No,3920,1969,127,240,1,Semiurban,Approved
Female,Yes,1,Not Graduate,No,14995,2351,380,180,1,Rural,Rejected
Male,No,1,Graduate,Yes,4644,226,175,240,1,Semiurban,Approved
Female,No,0,Graduate,Yes,5968,1117,64,240,1,Rural,Approved
Male,Yes,3+,Graduate,Yes,2875,2571,358,240,0,Semiurban,Rejected
Female,Yes,3+,Graduate,Yes,3333,4677,426,360,0,Rural,Rejected
Female,No,0,Graduate,Yes,14167,6608,210,240,1,Rural,Approved
Male,No,1,Graduate,Yes,4369,1753,190,300,1,Semiurban,Approved
Male,No,2,Graduate,No,10441,3471,293,180,1,Urban,Approved
Female,No,2,Not Graduate,Yes,12074,7920,360,120,0,Rural,Rejected
Male,No,3+,Not Graduate,No,14807,5613,112,360,0,Semiurban,Rejected
Female,Yes,3+,Not Graduate,No,2978,7670,471,180,1,Urban,Rejected
Male,No,2,Not Graduate,Yes,5989,7097,91,300,1,Rural,Approved
Female,No,3+,Graduate,Yes,12943,2137,309,120,1,Semiurban,Approved
Female,No,0,Graduate,Yes,11824,3632,455,180,0,Semiurban,Rejected
Male,No,2,Graduate,Yes,4085,2044,314,180,1,Semiurban,Approved
Female,No,1,Not Graduate,Yes,12763,4858,473,240,1,Urban,Rejected
Male,No,2,Graduate,No,7682,7739,477,360,0,Urban,Rejected
Male,Yes,0,Not Graduate,Yes,5789,5744,486,180,0,Semiurban,Rejected
Female,No,1,Graduate,No,4287,7759,340,120,0,Rural,Rejected
Female,No,3+,Graduate,Yes,13191,1664,147,240,1,Rural,Approved
Female,No,1,Not Graduate,Yes,11331,1765,471,240,0,Semiurban,Rejected
Male,No,1,Graduate,No,5789,1929,366,300,0,Semiurban,Rejected
Female,Yes,0,Not Graduate,Yes,6796,7982,404,300,0,Rural,Rejected
Female,No,2,Graduate,Yes,10625,481,76,240,0,Semiurban,Rejected
Female,Yes,0,Not Graduate,No,6456,3233,393,240,0,Rural,Rejected
Male,Yes,2,Graduate,No,7057,7191,289,180,0,Semiurban,Rejected
